Periode;Cabai
1;
2;48650
3;47150
4;48750
5;51500
6;41400
7;47650
8;47400
9;45250
10;49900
11;52150
12;49150
13;46500
14;43650
15;41650
16;38900
17;34400
18;36650
19;33750
20;34750
21;32150
22;26900
23;24250
24;31650
25;32000
26;27500
27;28250
28;31650
29;31150
30;29650
31;27750
32;31900
33;31500
34;28000
35;27650
36;25150
37;27500
38;29250
39;30900
40;34500
41;37750
42;44250
43;47750
44;43000
45;42000
46;36750
47;34650
48;32250
49;31750
50;32900
51;33650
52;35000
53;32400
54;32000
55;27000
56;24250
57;21500
58;23000
59;23150
60;23400
61;23000
62;21650
63;22150
64;21900
65;25150
66;25750
67;24900
68;24900
69;27000
70;26750
71;30400
72;32500
73;28250
74;33500
75;58250
76;55000
77;55900
78;58750
79;65150
80;71500
81;70000
82;68150
83;64000
84;66500
85;80250
86;75750
87;67650
88;64250
89;55400
90;46400
91;44250
92;43650
93;51000
94;45500
95;43750
96;38650
97;39650
98;43250
99;42150
100;36500
101;34000
102;36250
103;40000
104;40150
105;41650
106;43650
107;46650
108;42150
109;42650
110;42250
111;43400
112;42400
113;48650
114;45250
115;41250
116;32250
117;29900
118;29900
119;25900
120;25150
121;27500
122;23750
123;23250
124;19900
125;21000
126;28000
127;
128;21650
129;21150
130;21150
131;22900
132;21000
133;26500
134;27750
135;27500
136;30400
137;25750
138;
139;24000
140;21650
141;23900
142;27150
143;27400
144;34650
145;42400
146;49500
147;40500
148;37750
149;44650
150;43750
151;44750
152;44400
153;53750
154;51400
155;57000
156;66000
157;65400
158;61750
159;54650
160;57250
161;45500
162;47000
163;51750
164;46400
165;43250
166;45650
167;47650
168;48650
169;50150
170;50750
171;49250
172;44650
173;43150
174;31250
175;31250
176;37150
177;36900
178;28400
179;26650
180;25400
181;22650
182;23500
183;24650
184;30400
185;28900
186;36000
187;29400
188;24650
189;25000
190;23150
191;22650
192;22400
193;25900
194;25750
195;27900
196;33500
197;44150
198;38750
199;38150
200;47500
201;48400
202;56150
203;52150
204;42650
205;39000
206;38150
207;40500
208;42400
209;38400
