Time;MaxTemp
01/03/2010;30.19
01/04/2010;30.3
01/05/2010;30.35
01/06/2010;30.28
01/07/2010;30.05
01/08/2010;30.49
01/09/2010;30.88
01/10/2010;31.42
01/11/2010;31.36
01/12/2010;30.48
01/01/2011;29.71
01/02/2011;29.86
01/03/2011;30.32
01/04/2011;30.26
01/05/2011;30.47
01/06/2011;29.93
01/07/2011;29.85
01/08/2011;30.29
01/09/2011;30.78
01/10/2011;31.46
01/11/2011;31.59
01/12/2011;30.83
01/01/2012;29.79
01/02/2012;29.8
01/03/2012;30.51
01/04/2012;30.63
01/05/2012;30.58
01/06/2012;30.16
01/07/2012;29.75
01/08/2012;30.24
01/09/2012;30.69
01/10/2012;31.53
01/11/2012;30.92
01/12/2012;30.27
01/01/2013;29.91
01/02/2013;29.78
01/03/2013;30.18
01/04/2013;30.41
01/05/2013;30.55
01/06/2013;30.36
01/07/2013;29.89
01/08/2013;30.51
01/09/2013;30.52
01/10/2013;31.52
01/11/2013;30.78
01/12/2013;30.84
01/01/2014;29.77
01/02/2014;29.2
01/03/2014;30
01/04/2014;30.97
01/05/2014;30.38
01/06/2014;30.4
01/07/2014;30.07
01/08/2014;30.51
01/09/2014;31.4
01/10/2014;31.61
01/11/2014;32.16
01/12/2014;31.07
01/01/2015;29.86
01/02/2015;30.55
01/03/2015;30
01/04/2015;31.09
01/05/2015;30.43
01/06/2015;30.74
01/07/2015;29.87
01/08/2015;30.27
01/09/2015;30.63
01/10/2015;31.31
01/11/2015;31.19
01/12/2015;30.49
01/01/2016;29.82
01/02/2016;30.12
01/03/2016;30.56
01/04/2016;31.14
01/05/2016;30.43
01/06/2016;29.96
01/07/2016;29.77
01/08/2016;30.85
01/09/2016;31.17
01/10/2016;31.62
01/11/2016;30.87
01/12/2016;30.19
01/01/2017;29.98
01/02/2017;30.87
01/03/2017;30.21
01/04/2017;30.47
01/05/2017;30.4
01/06/2017;30.07
01/07/2017;30.06
01/08/2017;30.5
01/09/2017;30.86
01/10/2017;31.61
01/11/2017;30.67
01/12/2017;30.13
01/01/2018;29.55
01/02/2018;29.65
01/03/2018;30.64
01/04/2018;30.4
01/05/2018;30.38
01/06/2018;30.1
01/07/2018;29.95
01/08/2018;30.19
01/09/2018;30.74
01/10/2018;31.17
01/11/2018;30.8
01/12/2018;30.41
01/01/2019;30.07
01/02/2019;30.14
01/03/2019;30.24
01/04/2019;30.61
01/05/2019;30.4
01/06/2019;29.92
01/07/2019;29.8
01/08/2019;30.19
01/09/2019;30.44
01/10/2019;31.49
01/11/2019;30.95
01/12/2019;30.12
01/01/2020;30.32
01/02/2020;30.27
01/03/2020;30.42
01/04/2020;30.76
01/05/2020;30.39
01/06/2020;30.35
01/07/2020;30.08
01/08/2020;30.59
01/09/2020;31.03
01/10/2020;31.56
01/11/2020;31.06
01/12/2020;30.17
