Date;Volume
01/07/22;30767551159
02/07/22;18100418740
03/07/22;16390821947
04/07/22;21594638208
05/07/22;26715546990
06/07/22;24598943708
07/07/22;25814972520
08/07/22;49899834488
09/07/22;29641127858
10/07/22;28688807249
11/07/22;24150249025
12/07/22;25810220018
13/07/22;33042430345
14/07/22;31158743333
15/07/22;25905575359
16/07/22;24302954056
17/07/22;22927802083
18/07/22;39974475562
19/07/22;48765202697
20/07/22;42932549127
21/07/22;33631012204
22/07/22;31421555646
23/07/22;24021799169
24/07/22;23565495303
25/07/22;35574561406
26/07/22;28624673855
27/07/22;31758955233
28/07/22;40212386158
29/07/22;35887249746
30/07/22;28148218301
31/07/22;23553591896
01/08/22;25849159141
02/08/22;28389250717
03/08/22;26288169966
04/08/22;25120229769
05/08/22;28881249043
06/08/22;15978259885
07/08/22;15886817043
08/08/22;28575544847
09/08/22;23555719219
10/08/22;32837431722
11/08/22;37127036580
12/08/22;27265804688
13/08/22;22987346289
14/08/22;22994133555
15/08/22;35123501685
16/08/22;27753685646
17/08/22;30931623076
18/08/22;23747613147
19/08/22;40509610260
20/08/22;27595671000
21/08/22;23102307723
22/08/22;31666498758
23/08/22;31878280659
24/08/22;31962253368
25/08/22;31028679593
26/08/22;42326789564
27/08/22;30116729776
28/08/22;24366810591
29/08/22;32637854078
30/08/22;34483360283
31/08/22;33225232872
01/09/22;30182031010
02/09/22;29123998928
03/09/22;23613051457
04/09/22;25245861652
05/09/22;28813460025
06/09/22;43403978910
07/09/22;35239757134
08/09/22;32194477850
09/09/22;48469528171
10/09/22;36913738894
11/09/22;34493951963
12/09/22;50212088965
13/09/22;51091116622
14/09/22;37872380889
15/09/22;36389011503
16/09/22;30123362273
17/09/22;24957448100
18/09/22;31254779144
19/09/22;40177002624
20/09/22;36791346508
21/09/22;46363793975
22/09/22;41135767926
23/09/22;38896078052
24/09/22;26149643168
25/09/22;23359966112
26/09/22;44148798321
27/09/22;58571439619
28/09/22;53071298734
29/09/22;41037843771
30/09/22;43975248085
01/10/22;18719537670
02/10/22;20765955327
03/10/22;30484729489
04/10/22;35887278685
05/10/22;33223790572
06/10/22;34711412966
07/10/22;29227315390
08/10/22;16437423167
09/10/22;16837262532
10/10/22;27425022774
11/10/22;28711532910
12/10/22;24950173846
13/10/22;44219840004
